               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043291,            0.019461,            0.020966,             0.55078,             0.70277,             0.66237,             0.44682,            0.030005,           0.0057934,            0.016481,           0.0091337,           0.0091337,           0.0091337
                  37,            0.043113,            0.019181,            0.022951,               0.641,             0.41263,             0.46843,             0.30356,            0.042653,           0.0070917,            0.022889,            0.009109,            0.009109,            0.009109
                  38,             0.04124,            0.020745,            0.018814,             0.70988,             0.46249,             0.55742,              0.3688,            0.030968,           0.0061624,            0.016186,           0.0090843,           0.0090843,           0.0090843
                  39,            0.041653,            0.020009,            0.021299,             0.77629,             0.40687,             0.48511,             0.32413,            0.032654,           0.0055994,            0.023859,           0.0090595,           0.0090595,           0.0090595
                  40,            0.041127,            0.019852,            0.021878,             0.66094,             0.63199,              0.6413,             0.47278,            0.031597,           0.0051893,            0.014847,           0.0090347,           0.0090347,           0.0090347
                  41,            0.038758,            0.019612,            0.020315,              0.6998,             0.57653,             0.67435,             0.51668,              0.0317,           0.0053255,            0.011779,             0.00901,             0.00901,             0.00901
                  42,            0.039166,            0.019983,            0.021448,              0.7833,             0.22626,             0.33006,             0.20337,            0.039395,           0.0064376,            0.030451,           0.0089853,           0.0089853,           0.0089853
                  43,             0.04059,            0.020108,            0.018439,             0.57641,             0.72144,             0.70682,             0.51001,            0.031443,           0.0052142,            0.013252,           0.0089605,           0.0089605,           0.0089605
                  44,            0.038391,            0.018983,            0.019366,             0.52979,             0.40237,             0.38087,             0.21021,            0.038304,           0.0068437,            0.026566,           0.0089358,           0.0089358,           0.0089358
                  45,             0.03992,            0.019374,            0.018413,             0.53861,             0.52955,             0.55934,             0.33085,            0.032387,           0.0059711,            0.022131,            0.008911,            0.008911,            0.008911
                  46,            0.039176,            0.019642,            0.017897,             0.74697,             0.39546,             0.49853,             0.26812,            0.038767,           0.0065743,             0.02473,           0.0088863,           0.0088863,           0.0088863
                  47,            0.040012,            0.019932,            0.018131,             0.64778,             0.66314,             0.73505,             0.53488,            0.030783,           0.0048467,            0.013474,           0.0088615,           0.0088615,           0.0088615
                  48,            0.039792,            0.018711,            0.016538,             0.65405,             0.60677,             0.64874,             0.47277,            0.030528,           0.0052803,             0.01765,           0.0088368,           0.0088368,           0.0088368
                  49,             0.03885,            0.019554,            0.017985,             0.65187,             0.65525,             0.71279,             0.53091,            0.030046,           0.0048437,            0.012858,            0.008812,            0.008812,            0.008812
                  50,            0.040181,            0.018338,            0.017434,              0.7294,             0.66128,             0.75739,             0.53974,            0.028655,           0.0046491,            0.011453,           0.0087872,           0.0087872,           0.0087872
                  51,            0.036902,            0.018386,            0.016613,             0.75592,              0.7154,              0.7739,             0.53363,            0.028747,           0.0046235,           0.0098548,           0.0087625,           0.0087625,           0.0087625
                  52,            0.039742,            0.019097,             0.01714,             0.67452,              0.5937,             0.67942,             0.44309,             0.03177,           0.0055119,            0.015189,           0.0087378,           0.0087378,           0.0087378
                  53,            0.037049,            0.018675,            0.018871,             0.67078,             0.48688,             0.50547,             0.25691,            0.032594,           0.0074582,            0.026133,            0.008713,            0.008713,            0.008713
                  54,            0.037368,             0.01847,            0.018179,             0.68546,             0.51967,             0.61161,             0.37442,            0.033897,           0.0058948,            0.020836,           0.0086882,           0.0086882,           0.0086882
                  55,            0.037054,            0.018401,            0.016007,             0.68005,             0.67609,             0.71461,             0.52851,            0.031447,           0.0049369,            0.016983,           0.0086635,           0.0086635,           0.0086635
                  56,            0.036831,            0.018463,            0.014854,             0.64782,             0.55684,             0.60238,             0.43201,            0.029987,           0.0053295,            0.019099,           0.0086388,           0.0086388,           0.0086388
                  57,             0.03996,            0.019713,            0.014822,             0.77999,             0.67959,             0.78259,              0.6016,            0.026304,           0.0044434,            0.014215,            0.008614,            0.008614,            0.008614
                  58,             0.03645,            0.018443,            0.017749,             0.82945,             0.58394,             0.72199,             0.51716,            0.028816,           0.0054376,            0.017059,           0.0085893,           0.0085893,           0.0085893
                  59,            0.036976,            0.018779,            0.015992,             0.63049,             0.53543,             0.59887,             0.39077,            0.030399,           0.0057916,            0.023371,           0.0085645,           0.0085645,           0.0085645
                  60,            0.037067,            0.019209,            0.016322,             0.68364,             0.58997,             0.65375,             0.44457,            0.025833,           0.0052392,            0.018967,           0.0085398,           0.0085398,           0.0085398
                  61,            0.033775,            0.018224,            0.015326,             0.80145,             0.73105,             0.82903,              0.6293,             0.02629,           0.0044509,            0.011604,            0.008515,            0.008515,            0.008515
                  62,            0.035301,             0.01838,            0.015072,             0.73817,             0.63136,             0.74512,             0.56749,            0.025953,           0.0049802,            0.013738,           0.0084903,           0.0084903,           0.0084903
                  63,            0.038397,            0.018595,             0.01832,             0.74264,             0.75748,             0.79301,             0.59983,            0.025598,           0.0046377,            0.011939,           0.0084655,           0.0084655,           0.0084655
                  64,            0.036533,            0.019344,            0.014046,             0.80973,             0.75805,             0.82862,             0.63809,            0.027222,           0.0046819,            0.010967,           0.0084408,           0.0084408,           0.0084408
                  65,            0.036219,            0.018507,            0.013721,             0.79248,             0.77076,             0.80133,             0.60836,            0.029154,           0.0047588,            0.013539,            0.008416,            0.008416,            0.008416
                  66,            0.035264,            0.018304,            0.013487,             0.83207,             0.72387,             0.84561,             0.66351,            0.026036,           0.0046738,            0.010903,           0.0083913,           0.0083913,           0.0083913
                  67,            0.033804,            0.017742,            0.014881,             0.83454,             0.79352,             0.85878,             0.66694,            0.025944,            0.004494,           0.0092156,           0.0083665,           0.0083665,           0.0083665
                  68,            0.035018,            0.017052,            0.013085,             0.82659,             0.78285,             0.84389,             0.67133,            0.026147,           0.0047346,           0.0079941,           0.0083418,           0.0083418,           0.0083418
                  69,            0.037017,            0.018482,            0.013031,             0.81013,             0.62216,             0.76077,             0.53304,            0.028622,             0.00567,            0.021699,            0.008317,            0.008317,            0.008317
                  70,            0.036146,            0.017941,            0.012923,              0.7093,             0.75768,             0.75253,             0.58071,            0.027289,           0.0047744,            0.018061,           0.0082922,           0.0082922,           0.0082922
                  71,             0.03571,            0.018199,            0.014769,             0.76836,             0.65816,             0.76783,              0.5592,            0.027353,           0.0050258,             0.01079,           0.0082675,           0.0082675,           0.0082675
                  72,            0.036959,            0.018619,            0.013986,              0.6143,             0.53048,             0.64588,             0.36927,            0.031983,           0.0061188,            0.017361,           0.0082428,           0.0082428,           0.0082428
                  73,            0.036211,            0.018116,            0.013821,             0.82647,             0.81039,              0.8243,             0.62878,            0.026402,           0.0045601,            0.017304,            0.008218,            0.008218,            0.008218
                  74,            0.037228,            0.018545,            0.015744,             0.81096,             0.78754,             0.81968,             0.62721,            0.027651,           0.0047229,           0.0092014,           0.0081932,           0.0081932,           0.0081932
                  75,            0.034171,            0.018256,            0.012629,             0.79492,             0.78411,             0.86495,             0.66059,             0.02635,           0.0046651,            0.010436,           0.0081685,           0.0081685,           0.0081685
                  76,            0.035531,             0.01854,            0.011782,             0.80627,             0.76168,             0.83673,              0.6612,            0.026027,           0.0047177,            0.013233,           0.0081437,           0.0081437,           0.0081437
                  77,            0.034911,            0.017137,            0.014012,             0.75586,             0.82983,             0.83898,             0.65893,            0.026426,           0.0045573,           0.0098746,            0.008119,            0.008119,            0.008119
                  78,            0.035321,            0.018115,            0.013254,              0.9016,              0.8363,             0.91149,             0.74088,            0.024893,           0.0043577,           0.0085797,           0.0080942,           0.0080942,           0.0080942
                  79,            0.034174,            0.017884,            0.012218,             0.73621,             0.59791,             0.73471,             0.47345,            0.030964,           0.0056204,            0.018705,           0.0080695,           0.0080695,           0.0080695
                  80,            0.036277,            0.017613,            0.012911,             0.66594,             0.81151,             0.81016,             0.60651,            0.028231,           0.0047566,            0.016084,           0.0080447,           0.0080447,           0.0080447
                  81,            0.033734,            0.016661,            0.013009,             0.84859,             0.74411,              0.8684,             0.67646,            0.026148,           0.0043963,            0.012737,             0.00802,             0.00802,             0.00802
                  82,            0.034176,            0.017755,             0.01177,             0.79533,             0.68942,             0.76012,             0.53008,            0.027597,           0.0052225,            0.016968,           0.0079953,           0.0079953,           0.0079953
                  83,            0.033764,            0.016757,            0.011338,             0.71589,             0.61216,             0.67997,             0.43657,             0.03066,           0.0058163,            0.019927,           0.0079705,           0.0079705,           0.0079705
                  84,            0.032881,            0.017436,            0.013416,             0.70286,             0.61474,             0.68892,             0.46825,            0.028469,           0.0051449,            0.023098,           0.0079457,           0.0079457,           0.0079457
                  85,            0.033845,            0.017701,            0.011036,             0.85335,             0.68583,             0.80169,             0.58913,            0.028719,           0.0045462,            0.017332,            0.007921,            0.007921,            0.007921
                  86,            0.032874,            0.017552,            0.011232,             0.75536,             0.78117,             0.78654,             0.59999,            0.028488,           0.0048607,            0.024209,           0.0078963,           0.0078963,           0.0078963
                  87,            0.033453,             0.01702,            0.012544,              0.7055,             0.75414,             0.82711,             0.67206,            0.023531,           0.0044952,            0.020226,           0.0078715,           0.0078715,           0.0078715
                  88,             0.03176,            0.017335,            0.013774,             0.76882,             0.79431,             0.85068,             0.67831,            0.024542,           0.0043363,            0.016128,           0.0078467,           0.0078467,           0.0078467
                  89,            0.033219,            0.017502,            0.012904,              0.7755,              0.8246,             0.86084,             0.70369,             0.02462,           0.0042452,            0.013307,            0.007822,            0.007822,            0.007822
                  90,            0.031542,            0.016989,            0.014455,             0.80423,             0.72026,             0.80905,             0.64655,            0.027449,            0.004337,            0.015216,           0.0077973,           0.0077973,           0.0077973
                  91,            0.033206,            0.016772,            0.013262,             0.75256,              0.7188,             0.75324,             0.55299,            0.027984,           0.0050456,            0.018414,           0.0077725,           0.0077725,           0.0077725
                  92,            0.032069,            0.017091,            0.013413,             0.76358,             0.78082,             0.84701,             0.63433,            0.025232,           0.0047995,            0.016548,           0.0077478,           0.0077478,           0.0077478
                  93,            0.032921,            0.017399,            0.011714,              0.8071,             0.70226,              0.8236,             0.64712,            0.024877,           0.0047431,            0.016166,            0.007723,            0.007723,            0.007723
                  94,            0.033938,            0.018992,            0.011762,             0.85368,              0.8145,              0.8851,             0.68104,            0.024129,           0.0043708,             0.01187,           0.0076983,           0.0076983,           0.0076983
                  95,             0.03494,            0.017211,            0.010834,             0.80184,             0.70567,             0.82418,             0.60136,            0.025791,           0.0051064,            0.014786,           0.0076735,           0.0076735,           0.0076735
                  96,            0.035098,            0.017324,           0.0093719,             0.83968,             0.79722,             0.88166,             0.70537,            0.024153,           0.0046136,           0.0098599,           0.0076488,           0.0076488,           0.0076488
                  97,            0.032764,            0.016531,            0.011778,             0.91347,             0.72659,             0.85779,             0.67735,            0.025778,           0.0046602,           0.0088582,            0.007624,            0.007624,            0.007624
                  98,            0.032701,            0.017851,            0.010034,             0.82092,             0.82905,             0.88457,             0.69855,            0.026967,           0.0044541,            0.010258,           0.0075993,           0.0075993,           0.0075993
                  99,            0.031694,            0.016662,            0.011103,             0.82898,             0.73088,             0.82447,             0.63188,             0.02646,           0.0045172,            0.015963,           0.0075745,           0.0075745,           0.0075745
                 100,            0.030227,            0.015762,            0.010965,             0.86035,             0.74653,             0.86211,             0.68834,            0.024542,           0.0041327,            0.011933,           0.0075498,           0.0075498,           0.0075498
                 101,            0.032712,            0.016518,            0.010761,              0.8113,              0.8377,             0.90103,             0.69615,              0.0229,           0.0043622,           0.0072302,            0.007525,            0.007525,            0.007525
                 102,             0.03249,            0.017491,            0.010093,             0.90605,             0.73751,             0.87143,             0.65984,            0.021844,           0.0044603,             0.01068,           0.0075003,           0.0075003,           0.0075003
                 103,            0.031592,            0.017794,             0.01025,             0.85152,             0.84626,             0.91884,             0.71388,            0.021693,           0.0044068,           0.0084766,           0.0074755,           0.0074755,           0.0074755
                 104,            0.032407,            0.017152,            0.012091,             0.81061,             0.72946,             0.84055,             0.65204,            0.024743,           0.0043669,            0.014173,           0.0074507,           0.0074507,           0.0074507
                 105,            0.032078,            0.016562,            0.010505,             0.79227,             0.78546,             0.84442,             0.66491,            0.024121,           0.0044727,            0.014817,            0.007426,            0.007426,            0.007426
                 106,            0.032458,            0.016212,           0.0097664,             0.86245,             0.74476,             0.86524,             0.68745,            0.023258,           0.0045559,            0.012521,           0.0074013,           0.0074013,           0.0074013
                 107,            0.031918,            0.016397,            0.010446,             0.90771,             0.81222,             0.84617,             0.69982,            0.025544,           0.0045702,           0.0086282,           0.0073765,           0.0073765,           0.0073765
